Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 8
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
iter 1240: loss 1.2564, time 697.99ms, mfu 0.70%
step 1250: train loss 1.1758, val loss 1.4664
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2435, time 43638.58ms, mfu 0.63%
iter 1260: loss 1.2439, time 856.70ms, mfu 0.63%
iter 1270: loss 1.2484, time 702.51ms, mfu 0.63%
iter 1280: loss 1.2684, time 730.68ms, mfu 0.64%
iter 1290: loss 1.2625, time 731.84ms, mfu 0.64%
iter 1300: loss 1.2518, time 741.99ms, mfu 0.64%
iter 1310: loss 1.2413, time 702.48ms, mfu 0.65%
iter 1320: loss 1.2213, time 715.08ms, mfu 0.66%
iter 1330: loss 1.2291, time 727.12ms, mfu 0.66%
iter 1340: loss 1.2033, time 720.51ms, mfu 0.66%
iter 1350: loss 1.2154, time 704.30ms, mfu 0.67%
iter 1360: loss 1.2247, time 735.44ms, mfu 0.67%
iter 1370: loss 1.2270, time 697.23ms, mfu 0.67%
iter 1380: loss 1.2186, time 710.45ms, mfu 0.67%
iter 1390: loss 1.2036, time 735.57ms, mfu 0.67%
iter 1400: loss 1.2414, time 693.97ms, mfu 0.68%
iter 1410: loss 1.2137, time 711.88ms, mfu 0.68%
iter 1420: loss 1.1645, time 728.24ms, mfu 0.68%
iter 1430: loss 1.2109, time 727.52ms, mfu 0.68%
iter 1440: loss 1.1898, time 703.41ms, mfu 0.68%
iter 1450: loss 1.1654, time 694.73ms, mfu 0.69%
iter 1460: loss 1.2072, time 709.27ms, mfu 0.69%
iter 1470: loss 1.1956, time 743.84ms, mfu 0.69%
iter 1480: loss 1.2164, time 756.96ms, mfu 0.68%
iter 1490: loss 1.2146, time 785.22ms, mfu 0.68%
step 1500: train loss 1.1203, val loss 1.4524
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1672, time 42049.63ms, mfu 0.61%
iter 1510: loss 1.1578, time 821.43ms, mfu 0.61%
iter 1520: loss 1.1877, time 767.25ms, mfu 0.61%
iter 1530: loss 1.1749, time 744.38ms, mfu 0.62%
iter 1540: loss 1.1782, time 736.72ms, mfu 0.62%
iter 1550: loss 1.1984, time 731.65ms, mfu 0.63%
iter 1560: loss 1.1730, time 843.70ms, mfu 0.63%
iter 1570: loss 1.1686, time 733.92ms, mfu 0.63%
iter 1580: loss 1.1812, time 779.52ms, mfu 0.63%
iter 1590: loss 1.1772, time 723.70ms, mfu 0.64%
iter 1600: loss 1.1414, time 708.51ms, mfu 0.64%
iter 1610: loss 1.1861, time 703.04ms, mfu 0.65%
iter 1620: loss 1.1511, time 694.97ms, mfu 0.66%
iter 1630: loss 1.1606, time 770.54ms, mfu 0.66%
iter 1640: loss 1.1775, time 942.97ms, mfu 0.64%
iter 1650: loss 1.1796, time 672.44ms, mfu 0.65%
iter 1660: loss 1.1491, time 689.99ms, mfu 0.66%
iter 1670: loss 1.1696, time 663.07ms, mfu 0.67%
iter 1680: loss 1.1368, time 689.89ms, mfu 0.67%
iter 1690: loss 1.1430, time 774.85ms, mfu 0.67%
iter 1700: loss 1.1185, time 717.80ms, mfu 0.67%
iter 1710: loss 1.1669, time 703.01ms, mfu 0.68%
iter 1720: loss 1.1836, time 811.96ms, mfu 0.67%
iter 1730: loss 1.1245, time 730.52ms, mfu 0.67%
iter 1740: loss 1.1544, time 731.27ms, mfu 0.67%
step 1750: train loss 1.0714, val loss 1.4581
iter 1750: loss 1.1675, time 41620.32ms, mfu 0.61%
iter 1760: loss 1.1871, time 709.23ms, mfu 0.61%
iter 1770: loss 1.1379, time 730.20ms, mfu 0.62%
iter 1780: loss 1.1564, time 752.41ms, mfu 0.62%
iter 1790: loss 1.1562, time 762.59ms, mfu 0.63%
iter 1800: loss 1.1321, time 766.62ms, mfu 0.63%
iter 1810: loss 1.1696, time 672.11ms, mfu 0.64%
iter 1820: loss 1.1877, time 695.46ms, mfu 0.65%
iter 1830: loss 1.1229, time 718.98ms, mfu 0.65%
iter 1840: loss 1.1480, time 700.28ms, mfu 0.66%
iter 1850: loss 1.1544, time 695.36ms, mfu 0.66%
iter 1860: loss 1.0997, time 698.87ms, mfu 0.67%
iter 1870: loss 1.1741, time 699.88ms, mfu 0.67%
iter 1880: loss 1.1391, time 704.21ms, mfu 0.68%
iter 1890: loss 1.1774, time 711.50ms, mfu 0.68%
iter 1900: loss 1.1135, time 703.28ms, mfu 0.68%
iter 1910: loss 1.1360, time 703.18ms, mfu 0.68%
iter 1920: loss 1.1480, time 701.16ms, mfu 0.69%
iter 1930: loss 1.1258, time 758.51ms, mfu 0.68%
iter 1940: loss 1.1235, time 697.54ms, mfu 0.69%
iter 1950: loss 1.1377, time 696.90ms, mfu 0.69%
iter 1960: loss 1.1636, time 710.20ms, mfu 0.69%
iter 1970: loss 1.1189, time 700.38ms, mfu 0.69%
iter 1980: loss 1.1406, time 718.17ms, mfu 0.69%
iter 1990: loss 1.0998, time 723.32ms, mfu 0.69%
step 2000: train loss 1.0415, val loss 1.4570
iter 2000: loss 1.1228, time 39894.31ms, mfu 0.62%
