Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 6
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 950: loss 1.3506, time 456.41ms, mfu 0.80%
iter 960: loss 1.3693, time 462.95ms, mfu 0.80%
iter 970: loss 1.3537, time 456.17ms, mfu 0.80%
iter 980: loss 1.3406, time 455.38ms, mfu 0.81%
iter 990: loss 1.3258, time 457.70ms, mfu 0.81%
step 1000: train loss 1.2712, val loss 1.5238
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3249, time 23708.97ms, mfu 0.73%
iter 1010: loss 1.3551, time 454.48ms, mfu 0.74%
iter 1020: loss 1.3578, time 455.27ms, mfu 0.74%
iter 1030: loss 1.3270, time 456.03ms, mfu 0.75%
iter 1040: loss 1.2991, time 454.95ms, mfu 0.76%
iter 1050: loss 1.3183, time 455.85ms, mfu 0.76%
iter 1060: loss 1.3395, time 454.75ms, mfu 0.77%
iter 1070: loss 1.2925, time 454.54ms, mfu 0.78%
iter 1080: loss 1.3408, time 454.95ms, mfu 0.78%
iter 1090: loss 1.3060, time 455.62ms, mfu 0.78%
iter 1100: loss 1.3174, time 452.95ms, mfu 0.79%
iter 1110: loss 1.3049, time 453.11ms, mfu 0.79%
iter 1120: loss 1.2980, time 453.14ms, mfu 0.79%
iter 1130: loss 1.2745, time 456.34ms, mfu 0.80%
iter 1140: loss 1.2868, time 462.54ms, mfu 0.80%
iter 1150: loss 1.2810, time 461.89ms, mfu 0.80%
iter 1160: loss 1.2805, time 460.43ms, mfu 0.80%
iter 1170: loss 1.2799, time 460.03ms, mfu 0.80%
iter 1180: loss 1.2891, time 460.39ms, mfu 0.80%
iter 1190: loss 1.3014, time 461.80ms, mfu 0.80%
iter 1200: loss 1.2785, time 460.33ms, mfu 0.80%
iter 1210: loss 1.3008, time 461.19ms, mfu 0.80%
iter 1220: loss 1.2810, time 461.03ms, mfu 0.80%
iter 1230: loss 1.2466, time 456.96ms, mfu 0.80%
iter 1240: loss 1.2810, time 457.48ms, mfu 0.81%
step 1250: train loss 1.1918, val loss 1.4870
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2749, time 23785.70ms, mfu 0.73%
iter 1260: loss 1.2556, time 459.85ms, mfu 0.74%
iter 1270: loss 1.2509, time 458.56ms, mfu 0.74%
iter 1280: loss 1.2531, time 465.55ms, mfu 0.75%
iter 1290: loss 1.2634, time 458.63ms, mfu 0.75%
iter 1300: loss 1.2619, time 470.97ms, mfu 0.76%
iter 1310: loss 1.2546, time 457.46ms, mfu 0.76%
iter 1320: loss 1.2259, time 471.89ms, mfu 0.77%
iter 1330: loss 1.2461, time 457.04ms, mfu 0.77%
iter 1340: loss 1.2505, time 460.97ms, mfu 0.78%
iter 1350: loss 1.2604, time 457.72ms, mfu 0.78%
iter 1360: loss 1.2522, time 458.05ms, mfu 0.78%
iter 1370: loss 1.2514, time 457.31ms, mfu 0.79%
iter 1380: loss 1.2314, time 457.52ms, mfu 0.79%
iter 1390: loss 1.2307, time 460.74ms, mfu 0.79%
iter 1400: loss 1.2522, time 457.41ms, mfu 0.79%
iter 1410: loss 1.2233, time 458.29ms, mfu 0.80%
iter 1420: loss 1.2191, time 457.82ms, mfu 0.80%
iter 1430: loss 1.2127, time 457.86ms, mfu 0.80%
iter 1440: loss 1.2378, time 457.71ms, mfu 0.80%
iter 1450: loss 1.2124, time 457.85ms, mfu 0.80%
iter 1460: loss 1.2150, time 458.11ms, mfu 0.80%
iter 1470: loss 1.2094, time 461.99ms, mfu 0.80%
iter 1480: loss 1.2163, time 457.90ms, mfu 0.80%
iter 1490: loss 1.2177, time 458.09ms, mfu 0.81%
step 1500: train loss 1.1376, val loss 1.4671
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.2170, time 23722.10ms, mfu 0.73%
iter 1510: loss 1.2108, time 459.61ms, mfu 0.73%
iter 1520: loss 1.2108, time 458.04ms, mfu 0.74%
iter 1530: loss 1.2106, time 458.31ms, mfu 0.75%
iter 1540: loss 1.1977, time 458.75ms, mfu 0.76%
iter 1550: loss 1.2045, time 458.88ms, mfu 0.76%
iter 1560: loss 1.2096, time 461.15ms, mfu 0.77%
iter 1570: loss 1.2265, time 459.88ms, mfu 0.77%
iter 1580: loss 1.2080, time 460.22ms, mfu 0.77%
iter 1590: loss 1.2124, time 457.40ms, mfu 0.78%
iter 1600: loss 1.1907, time 454.07ms, mfu 0.78%
iter 1610: loss 1.2249, time 454.20ms, mfu 0.79%
iter 1620: loss 1.1862, time 453.52ms, mfu 0.79%
iter 1630: loss 1.1789, time 453.69ms, mfu 0.79%
iter 1640: loss 1.1930, time 454.12ms, mfu 0.80%
iter 1650: loss 1.1899, time 457.50ms, mfu 0.80%
iter 1660: loss 1.1869, time 454.46ms, mfu 0.80%
iter 1670: loss 1.1802, time 454.77ms, mfu 0.80%
iter 1680: loss 1.1978, time 453.51ms, mfu 0.80%
iter 1690: loss 1.1813, time 458.48ms, mfu 0.80%
iter 1700: loss 1.1650, time 458.92ms, mfu 0.81%
iter 1710: loss 1.1648, time 453.42ms, mfu 0.81%
iter 1720: loss 1.1815, time 453.93ms, mfu 0.81%
iter 1730: loss 1.1711, time 453.32ms, mfu 0.81%
iter 1740: loss 1.1690, time 453.60ms, mfu 0.81%
step 1750: train loss 1.0983, val loss 1.4601
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.2075, time 23634.14ms, mfu 0.73%
iter 1760: loss 1.2015, time 454.49ms, mfu 0.74%
iter 1770: loss 1.1439, time 454.48ms, mfu 0.75%
iter 1780: loss 1.1839, time 453.60ms, mfu 0.76%
iter 1790: loss 1.1829, time 453.80ms, mfu 0.76%
iter 1800: loss 1.1755, time 453.36ms, mfu 0.77%
iter 1810: loss 1.1981, time 454.86ms, mfu 0.77%
iter 1820: loss 1.1775, time 455.04ms, mfu 0.78%
iter 1830: loss 1.1670, time 453.37ms, mfu 0.78%
iter 1840: loss 1.1622, time 453.37ms, mfu 0.79%
iter 1850: loss 1.1610, time 455.72ms, mfu 0.79%
iter 1860: loss 1.1614, time 453.68ms, mfu 0.79%
iter 1870: loss 1.1694, time 453.41ms, mfu 0.80%
iter 1880: loss 1.1856, time 453.21ms, mfu 0.80%
iter 1890: loss 1.1640, time 453.91ms, mfu 0.80%
iter 1900: loss 1.1815, time 453.10ms, mfu 0.80%
iter 1910: loss 1.1429, time 453.53ms, mfu 0.80%
iter 1920: loss 1.1632, time 454.98ms, mfu 0.81%
iter 1930: loss 1.1362, time 454.70ms, mfu 0.81%
iter 1940: loss 1.1787, time 453.88ms, mfu 0.81%
iter 1950: loss 1.1644, time 453.51ms, mfu 0.81%
iter 1960: loss 1.1829, time 453.93ms, mfu 0.81%
iter 1970: loss 1.1498, time 453.45ms, mfu 0.81%
iter 1980: loss 1.1602, time 454.21ms, mfu 0.81%
iter 1990: loss 1.1620, time 454.56ms, mfu 0.81%
step 2000: train loss 1.0721, val loss 1.4672
iter 2000: loss 1.1578, time 23557.02ms, mfu 0.73%
